COUNTYFP,deaths_avg_per_100k,state,state_po,CTYNAME,party_winner_2020,totalvotes_2020,fractionalvotes_2020,party_winner_2016,totalvotes_2016,fractionalvotes_2016,changecolor,_merge,pct_increase,segmentname
31075,2.8393309859154914,NEBRASKA,NE,GRANT,REPUBLICAN,402.0,0.9328358208955224,REPUBLICAN,405.0,0.9061728395061729,#970D03,both,2.6662981389349527,Stayed Republican
48155,2.4599431818181823,TEXAS,TX,FOARD,REPUBLICAN,551.0,0.8076225045372051,REPUBLICAN,513.0,0.746588693957115,#970D03,both,6.103381058009005,Stayed Republican
30109,2.132097701149426,MONTANA,MT,WIBAUX,REPUBLICAN,598.0,0.862876254180602,REPUBLICAN,541.0,0.8558225508317929,#970D03,both,0.705370334880906,Stayed Republican
51640,2.002428884026258,VIRGINIA,VA,GALAX CITY,REPUBLICAN,2639.0,0.6964759378552482,REPUBLICAN,2376.0,0.6746632996632996,#970D03,both,2.1812638191948563,Stayed Republican
48311,1.9340517241379318,TEXAS,TX,MCMULLEN,REPUBLICAN,516.0,0.8914728682170543,REPUBLICAN,499.0,0.9098196392785571,#970D03,both,-1.8346771061502842,Stayed Republican
13141,1.8918385650224316,GEORGIA,GA,HANCOCK,DEMOCRAT,4165.0,0.7166866746698679,DEMOCRAT,3580.0,0.7544692737430168,#030D97,both,-3.778259907314885,Stayed Democrat
21201,1.8586703601108012,KENTUCKY,KY,ROBERTSON,REPUBLICAN,1146.0,0.7713787085514834,REPUBLICAN,1013.0,0.7492596248766041,#970D03,both,2.2119083674879247,Stayed Republican
46053,1.8283673469387747,SOUTH DAKOTA,SD,GREGORY,REPUBLICAN,2258.0,0.7843224092116917,REPUBLICAN,2091.0,0.7651841224294595,#970D03,both,1.9138286782232172,Stayed Republican
20063,1.8264332603938727,KANSAS,KS,GOVE,REPUBLICAN,1471.0,0.8776342624065262,REPUBLICAN,1343.0,0.8488458674609084,#970D03,both,2.87883949456178,Stayed Republican
46073,1.7902027027027043,SOUTH DAKOTA,SD,JERAULD,REPUBLICAN,1006.0,0.7166998011928429,REPUBLICAN,967.0,0.6701137538779731,#970D03,both,4.658604731486982,Stayed Republican
51595,1.745177777777775,VIRGINIA,VA,EMPORIA CITY,DEMOCRAT,2384.0,0.6761744966442953,DEMOCRAT,2367.0,0.6463878326996197,#030D97,both,2.978666394467555,Stayed Democrat
38021,1.736666666666664,NORTH DAKOTA,ND,DICKEY,REPUBLICAN,2424.0,0.7186468646864687,REPUBLICAN,2407.0,0.692563356875779,#970D03,both,2.608350781068969,Stayed Republican
30019,1.596617210682492,MONTANA,MT,DANIELS,REPUBLICAN,1014.0,0.7879684418145957,REPUBLICAN,962.0,0.7588357588357588,#970D03,both,2.9132682978836866,Stayed Republican
55051,1.5826914660831504,WISCONSIN,WI,IRON,REPUBLICAN,4010.0,0.6079800498753117,REPUBLICAN,3497.0,0.597655132971118,#970D03,both,1.0324916904193682,Stayed Republican
46017,1.5587764705882334,SOUTH DAKOTA,SD,BUFFALO,DEMOCRAT,549.0,0.6411657559198543,DEMOCRAT,490.0,0.6040816326530613,#030D97,both,3.7084123266793,Stayed Democrat
13125,1.5378124999999974,GEORGIA,GA,GLASCOCK,REPUBLICAN,1566.0,0.8959131545338442,REPUBLICAN,1390.0,0.8884892086330936,#970D03,both,0.7423945900750684,Stayed Republican
38047,1.5267231638418102,NORTH DAKOTA,ND,LOGAN,REPUBLICAN,1076.0,0.8643122676579925,REPUBLICAN,1067.0,0.8322399250234301,#970D03,both,3.207234263456238,Stayed Republican
51690,1.5191294117647023,VIRGINIA,VA,MARTINSVILLE CITY,DEMOCRAT,6024.0,0.6251660026560425,DEMOCRAT,5907.0,0.5981039444726596,#030D97,both,2.706205818338292,Stayed Democrat
48345,1.5147045454545445,TEXAS,TX,MOTLEY,REPUBLICAN,652.0,0.9263803680981595,REPUBLICAN,615.0,0.9203252032520325,#970D03,both,0.6055164846127004,Stayed Republican
46125,1.494065934065938,SOUTH DAKOTA,SD,TURNER,REPUBLICAN,4548.0,0.7233948988566403,REPUBLICAN,4150.0,0.707710843373494,#970D03,both,1.568405548314633,Stayed Republican
46055,1.4790168539325836,SOUTH DAKOTA,SD,HAAKON,REPUBLICAN,1137.0,0.9023746701846965,REPUBLICAN,1044.0,0.896551724137931,#970D03,both,0.5822946046765476,Stayed Republican
48279,1.4732894736842126,TEXAS,TX,LAMB,REPUBLICAN,4410.0,0.7984126984126985,REPUBLICAN,3995.0,0.7787234042553192,#970D03,both,1.96892941573793,Stayed Republican
48261,1.4609749303621173,TEXAS,TX,KENEDY,REPUBLICAN,194.0,0.654639175257732,DEMOCRAT,186.0,0.532258064516129,#AB5A68,both,12.238111074160296,To Republican
30003,1.4528893905191897,MONTANA,MT,BIG HORN,DEMOCRAT,4784.0,0.5206939799331104,DEMOCRAT,4237.0,0.49421760679726223,#030D97,both,2.6476373135848164,Stayed Democrat
30011,1.4469202898550733,MONTANA,MT,CARTER,REPUBLICAN,864.0,0.8969907407407407,REPUBLICAN,786.0,0.8625954198473282,#970D03,both,3.439532089341246,Stayed Republican
20135,1.4359506172839511,KANSAS,KS,NESS,REPUBLICAN,1513.0,0.8849966953073364,REPUBLICAN,1454.0,0.844566712517194,#970D03,both,4.042998279014243,Stayed Republican
30087,1.4351794871794896,MONTANA,MT,ROSEBUD,REPUBLICAN,3773.0,0.6588921282798834,REPUBLICAN,3453.0,0.6524761077324066,#970D03,both,0.6416020547476808,Stayed Republican
46051,1.4289208633093498,SOUTH DAKOTA,SD,GRANT,REPUBLICAN,3745.0,0.6990654205607477,REPUBLICAN,3564.0,0.6683501683501684,#970D03,both,3.071525221057936,Stayed Republican
46057,1.4258771929824583,SOUTH DAKOTA,SD,HAMLIN,REPUBLICAN,3083.0,0.7693804735647097,REPUBLICAN,2762.0,0.7425778421433744,#970D03,both,2.680263142133532,Stayed Republican
38075,1.4257819905213263,NORTH DAKOTA,ND,RENVILLE,REPUBLICAN,1319.0,0.8074298711144806,REPUBLICAN,1293.0,0.7679814385150812,#970D03,both,3.9448432599399452,Stayed Republican
35031,1.4159482758620694,NEW MEXICO,NM,MCKINLEY,DEMOCRAT,26486.0,0.6806992373329306,DEMOCRAT,21703.0,0.625535640234069,#030D97,both,5.516359709886154,Stayed Democrat
38095,1.4158309859154907,NORTH DAKOTA,ND,TOWNER,REPUBLICAN,1174.0,0.706984667802385,REPUBLICAN,1157.0,0.6335350043215212,#970D03,both,7.344966348086379,Stayed Republican
46105,1.3923646723646734,SOUTH DAKOTA,SD,PERKINS,REPUBLICAN,1669.0,0.8394248052726183,REPUBLICAN,1606.0,0.8300124533001245,#970D03,both,0.9412351972493793,Stayed Republican
28099,1.3587527352297637,MISSISSIPPI,MS,NESHOBA,REPUBLICAN,11703.0,0.7109288216696573,REPUBLICAN,10553.0,0.7276603809343315,#970D03,both,-1.6731559264674178,Stayed Republican
38069,1.3552155172413813,NORTH DAKOTA,ND,PIERCE,REPUBLICAN,2128.0,0.7448308270676691,REPUBLICAN,2071.0,0.6938676967648479,#970D03,both,5.0963130302821185,Stayed Republican
22013,1.354622030237586,LOUISIANA,LA,BIENVILLE,REPUBLICAN,7050.0,0.5519148936170213,REPUBLICAN,7005.0,0.5361884368308352,#970D03,both,1.5726456786186116,Stayed Republican
22037,1.348537117903933,LOUISIANA,LA,EAST FELICIANA,REPUBLICAN,10509.0,0.5770292130554763,REPUBLICAN,10042.0,0.5545708026289584,#970D03,both,2.245841042651786,Stayed Republican
