COUNTYFP,unemployment_rate,cases_avg_per_100k,deaths_avg_per_100k,party,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
1001,5.442857142857143,1766.5600000000002,43.77999999999999,REPUBLICAN,0.053,0.074,0.134,0.295,0.444
1003,6.357142857142857,1282.6299999999997,9.14,REPUBLICAN,0.083,0.059,0.098,0.323,0.436
1005,6.542857142857143,2329.26,17.4,REPUBLICAN,0.067,0.121,0.12,0.201,0.491
1007,7.414285714285714,1548.1900000000003,8.96,REPUBLICAN,0.02,0.034,0.096,0.278,0.572
1009,4.742857142857142,1190.5300000000002,3.2199999999999998,REPUBLICAN,0.053,0.114,0.18,0.194,0.459
1011,5.428571428571429,4303.16,129.51,DEMOCRAT,0.031,0.04,0.144,0.286,0.5
1013,9.385714285714286,3841.86,183.45999999999995,REPUBLICAN,0.102,0.053,0.257,0.137,0.451
1015,7.871428571428572,1095.1399999999999,6.02,REPUBLICAN,0.152,0.108,0.13,0.167,0.442
1017,7.614285714285715,2543.81,127.16999999999996,REPUBLICAN,0.117,0.037,0.15,0.136,0.56
1019,5.557142857142858,853.95,30.690000000000005,REPUBLICAN,0.135,0.027,0.161,0.158,0.52
1021,5.671428571428571,1463.41,12.799999999999999,REPUBLICAN,0.06,0.07,0.058,0.194,0.618
1023,7.314285714285716,2118.5600000000004,95.19999999999999,REPUBLICAN,0.049,0.038,0.126,0.219,0.568
1025,9.114285714285714,1987.0299999999995,43.56000000000002,REPUBLICAN,0.049,0.088,0.164,0.268,0.43
1027,4.385714285714286,1353.6999999999998,30.240000000000002,REPUBLICAN,0.148,0.158,0.195,0.169,0.329
1029,5.442857142857142,713.1500000000001,6.72,REPUBLICAN,0.151,0.125,0.138,0.217,0.368
1031,4.857142857142857,1288.54,11.589999999999996,REPUBLICAN,0.101,0.152,0.094,0.186,0.466
1033,7.557142857142857,1731.85,19.759999999999998,REPUBLICAN,0.082,0.096,0.152,0.159,0.51
1035,7.5,2951.1499999999996,101.34000000000005,REPUBLICAN,0.099,0.052,0.259,0.192,0.399
1037,6.128571428571428,939.0699999999997,18.76,REPUBLICAN,0.055,0.131,0.167,0.263,0.384
1039,5.528571428571429,1972.6900000000003,62.22,REPUBLICAN,0.187,0.128,0.129,0.201,0.356
1041,6.685714285714285,1908.47,38.43000000000001,REPUBLICAN,0.06,0.091,0.199,0.233,0.416
1043,5.157142857142857,1263.8400000000001,12.749999999999996,REPUBLICAN,0.13,0.024,0.249,0.217,0.379
1045,5.142857142857143,1471.7,34.57,REPUBLICAN,0.089,0.113,0.118,0.22,0.46
1047,11.014285714285716,3467.8899999999994,57.16,DEMOCRAT,0.095,0.1,0.159,0.122,0.524
1049,5.228571428571429,2195.4799999999996,14.599999999999998,REPUBLICAN,0.084,0.051,0.106,0.179,0.58
1051,5.385714285714285,1906.2500000000002,46.67999999999999,REPUBLICAN,0.042,0.095,0.127,0.252,0.485
1053,6.285714285714286,2533.790000000001,53.0,REPUBLICAN,0.114,0.026,0.188,0.285,0.387
1055,8.757142857142856,1733.9799999999998,18.51000000000001,REPUBLICAN,0.096,0.103,0.178,0.122,0.501
1057,5.6428571428571415,976.0599999999998,30.7,REPUBLICAN,0.138,0.048,0.151,0.233,0.429
1059,5.228571428571429,3631.4900000000002,65.51000000000002,REPUBLICAN,0.065,0.071,0.223,0.156,0.484
1061,4.542857142857143,789.7600000000001,3.7800000000000002,REPUBLICAN,0.176,0.131,0.089,0.158,0.445
1063,11.185714285714285,3029.3700000000003,132.0,DEMOCRAT,0.03,0.053,0.127,0.167,0.623
1065,10.0,2996.5099999999998,177.15000000000003,DEMOCRAT,0.026,0.061,0.084,0.191,0.639
1067,5.242857142857143,1381.94,23.24,REPUBLICAN,0.066,0.068,0.17,0.258,0.438
1069,5.685714285714286,1144.3600000000001,15.239999999999998,REPUBLICAN,0.085,0.079,0.135,0.268,0.433
1071,6.214285714285715,1379.15,9.800000000000002,REPUBLICAN,0.092,0.089,0.11,0.249,0.46
1073,6.514285714285714,1632.6299999999997,32.39000000000001,DEMOCRAT,0.049,0.037,0.107,0.179,0.628
1075,5.528571428571428,1328.07,18.229999999999997,REPUBLICAN,0.107,0.045,0.132,0.189,0.527
1077,6.485714285714285,1025.3199999999997,12.020000000000001,REPUBLICAN,0.093,0.119,0.141,0.179,0.469
1079,5.514285714285714,837.9700000000003,0.0,REPUBLICAN,0.162,0.08,0.088,0.251,0.419
1081,5.957142857142857,1497.6000000000001,28.7,REPUBLICAN,0.053,0.064,0.138,0.183,0.562
1083,4.928571428571429,1095.35,11.28,REPUBLICAN,0.102,0.034,0.133,0.336,0.395
1085,13.042857142857144,5720.56,267.5299999999999,DEMOCRAT,0.12,0.073,0.145,0.199,0.464
1087,9.857142857142856,1700.29,73.61999999999999,DEMOCRAT,0.008,0.033,0.241,0.172,0.545
1089,5.114285714285715,1219.98,7.359999999999999,REPUBLICAN,0.062,0.05,0.123,0.177,0.589
1091,6.428571428571429,2669.920000000001,68.11000000000001,DEMOCRAT,0.033,0.151,0.118,0.186,0.512
1093,5.757142857142857,1769.4699999999998,80.23000000000002,REPUBLICAN,0.129,0.064,0.246,0.207,0.353
1095,4.828571428571429,2868.08,33.8,REPUBLICAN,0.075,0.064,0.129,0.253,0.479
1097,8.3,1833.9099999999999,47.349999999999994,REPUBLICAN,0.077,0.07,0.102,0.244,0.506
1099,8.6,2024.8400000000001,24.81,REPUBLICAN,0.112,0.041,0.182,0.288,0.378
1101,7.885714285714286,2607.24,63.15000000000002,DEMOCRAT,0.056,0.095,0.123,0.212,0.513
1103,5.014285714285714,1710.5400000000002,11.760000000000002,REPUBLICAN,0.078,0.077,0.082,0.304,0.459
1105,10.77142857142857,4702.86,33.60000000000001,DEMOCRAT,0.025,0.084,0.087,0.187,0.618
1107,7.228571428571428,1756.0400000000002,47.4,REPUBLICAN,0.031,0.06,0.169,0.157,0.584
1109,5.214285714285714,1915.68,21.069999999999993,REPUBLICAN,0.06,0.131,0.145,0.333,0.33
1111,5.685714285714285,1739.2400000000002,53.22,REPUBLICAN,0.158,0.226,0.105,0.144,0.368
1113,5.742857142857143,1941.65,1.75,DEMOCRAT,0.069,0.067,0.08,0.213,0.57
1115,5.6428571428571415,1250.77,9.760000000000002,REPUBLICAN,0.027,0.134,0.144,0.2,0.495
1117,4.4,1324.1699999999998,15.889999999999999,REPUBLICAN,0.022,0.075,0.118,0.24,0.545
