month,unemployment_rate,COUNTYFP,month_since_start,cases_avg_per_100k,deaths_avg_per_100k,party
2021-06,3.1,1001,18,193.59000000000006,5.389999999999999,REPUBLICAN
2021-05,2.3,1001,17,342.2099999999999,5.409999999999998,REPUBLICAN
2021-04,2.4,1001,16,576.83,14.369999999999996,REPUBLICAN
2021-03,2.9,1001,15,593.9200000000001,20.57,REPUBLICAN
2021-02,3.1,1001,14,1180.83,39.900000000000006,REPUBLICAN
2021-01,3.3,1001,13,2612.9900000000007,36.069999999999986,REPUBLICAN
2020-12,2.9,1001,12,2431.45,12.179999999999996,REPUBLICAN
2020-11,3.1,1001,11,1096.6999999999998,20.639999999999997,REPUBLICAN
2020-10,3.4,1001,10,608.6300000000001,12.179999999999996,REPUBLICAN
2020-09,5.5,1001,9,696.6399999999998,4.659999999999998,REPUBLICAN
2020-08,5.8,1001,8,804.6700000000001,3.629999999999999,REPUBLICAN
2020-07,6.3,1001,7,847.9399999999999,16.9,REPUBLICAN
2020-06,6.5,1001,6,536.46,14.879999999999994,REPUBLICAN
2020-05,6.4,1001,5,307.03000000000003,4.439999999999998,REPUBLICAN
2020-04,10.9,1001,4,64.41000000000001,7.559999999999997,REPUBLICAN
2020-03,2.5,1001,3,10.72,0.0,REPUBLICAN
2020-02,2.6,1001,2,,,REPUBLICAN
2020-01,2.9,1001,1,,,REPUBLICAN
2021-07,2.7,1003,19,1113.0,5.849999999999999,REPUBLICAN
2021-06,3.0,1003,18,159.73999999999998,1.5200000000000007,REPUBLICAN
2021-05,2.4,1003,17,246.54000000000005,2.4799999999999995,REPUBLICAN
2021-04,2.5,1003,16,194.87999999999994,2.3,REPUBLICAN
2021-03,3.0,1003,15,345.99,12.280000000000006,REPUBLICAN
2021-02,3.3,1003,14,848.38,30.42,REPUBLICAN
2021-01,3.5,1003,13,2104.17,29.28,REPUBLICAN
2020-12,3.1,1003,12,1974.5599999999993,26.31000000000001,REPUBLICAN
2020-11,3.4,1003,11,836.2699999999998,11.86,REPUBLICAN
2020-10,3.9,1003,10,521.4200000000002,8.650000000000004,REPUBLICAN
2020-09,5.9,1003,9,502.44,5.289999999999998,REPUBLICAN
2020-08,6.4,1003,8,678.03,8.51,REPUBLICAN
2020-07,7.1,1003,7,1030.51,4.409999999999998,REPUBLICAN
2020-06,7.3,1003,6,125.33000000000001,0.24,REPUBLICAN
2020-05,7.6,1003,5,53.349999999999994,3.14,REPUBLICAN
2020-04,14.5,1003,4,68.61,1.3500000000000005,REPUBLICAN
2020-03,2.5,1003,3,4.83,0.0,REPUBLICAN
2020-02,2.5,1003,2,,,REPUBLICAN
2020-01,3.0,1003,1,,,REPUBLICAN
2021-07,6.3,1005,19,487.29999999999995,4.06,REPUBLICAN
2021-06,6.6,1005,18,71.49000000000005,5.8,REPUBLICAN
2021-05,4.6,1005,17,136.73,14.600000000000001,REPUBLICAN
2021-04,4.8,1005,16,296.88000000000005,7.54,REPUBLICAN
2021-03,5.6,1005,15,508.4800000000001,14.5,REPUBLICAN
2021-02,6.2,1005,14,803.14,44.00999999999996,REPUBLICAN
2021-01,6.7,1005,13,1887.6699999999998,31.289999999999992,REPUBLICAN
2020-12,5.7,1005,12,1088.51,88.01999999999997,REPUBLICAN
2020-11,6.0,1005,11,509.3,5.22,REPUBLICAN
2020-10,6.9,1005,10,662.49,8.12,REPUBLICAN
2020-09,10.1,1005,9,554.4,0.0,REPUBLICAN
2020-08,9.9,1005,8,684.0300000000001,11.02,REPUBLICAN
2020-07,9.8,1005,7,1064.2,13.34,REPUBLICAN
2020-06,9.1,1005,6,708.8999999999997,0.0,REPUBLICAN
2020-05,7.2,1005,5,413.78000000000003,2.9,REPUBLICAN
