,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
0,1001,0.053,0.07400000000000001,0.134,0.295,0.444
1,1003,0.083,0.059000000000000004,0.098,0.32299999999999995,0.436
2,1005,0.067,0.121,0.12,0.201,0.491
3,1007,0.02,0.034,0.096,0.278,0.5720000000000001
4,1009,0.053,0.114,0.18,0.19399999999999998,0.45899999999999996
5,1011,0.031,0.04,0.14400000000000002,0.28600000000000003,0.5
6,1013,0.102,0.053,0.257,0.13699999999999998,0.451
7,1015,0.152,0.10800000000000001,0.13,0.16699999999999998,0.442
8,1017,0.11699999999999999,0.037000000000000005,0.15,0.136,0.56
9,1019,0.135,0.027000000000000003,0.161,0.158,0.52
10,1021,0.06,0.07,0.057999999999999996,0.19399999999999998,0.618
11,1023,0.049,0.038,0.126,0.21899999999999997,0.568
12,1025,0.049,0.08800000000000001,0.16399999999999998,0.268,0.43
13,1027,0.14800000000000002,0.158,0.195,0.16899999999999998,0.32899999999999996
14,1029,0.151,0.125,0.138,0.217,0.368
15,1031,0.10099999999999999,0.152,0.094,0.18600000000000003,0.466
16,1033,0.08199999999999999,0.096,0.152,0.159,0.51
17,1035,0.099,0.052000000000000005,0.259,0.192,0.39899999999999997
18,1037,0.055,0.131,0.16699999999999998,0.263,0.384
19,1039,0.187,0.128,0.129,0.201,0.35600000000000004
20,1041,0.06,0.091,0.19899999999999998,0.233,0.41600000000000004
21,1043,0.13,0.024,0.249,0.217,0.379
22,1045,0.08900000000000001,0.113,0.11800000000000001,0.22,0.46
23,1047,0.095,0.1,0.159,0.122,0.524
24,1049,0.084,0.051,0.106,0.179,0.58
25,1051,0.042,0.095,0.127,0.252,0.485
26,1053,0.114,0.026000000000000002,0.188,0.285,0.387
27,1055,0.096,0.10300000000000001,0.17800000000000002,0.122,0.501
28,1057,0.138,0.048,0.151,0.233,0.429
29,1059,0.065,0.071,0.223,0.156,0.484
30,1061,0.17600000000000002,0.131,0.08900000000000001,0.158,0.445
31,1063,0.03,0.053,0.127,0.16699999999999998,0.623
32,1065,0.026000000000000002,0.061,0.084,0.191,0.639
33,1067,0.066,0.068,0.17,0.258,0.43799999999999994
34,1069,0.085,0.079,0.135,0.268,0.433
35,1071,0.092,0.08900000000000001,0.11,0.249,0.46
36,1073,0.049,0.037000000000000005,0.107,0.179,0.628
37,1075,0.107,0.045,0.132,0.18899999999999997,0.527
38,1077,0.09300000000000001,0.11900000000000001,0.141,0.179,0.469
39,1079,0.162,0.08,0.08800000000000001,0.251,0.419
40,1081,0.053,0.064,0.138,0.183,0.562
41,1083,0.102,0.034,0.133,0.336,0.395
42,1085,0.12,0.073,0.145,0.19899999999999998,0.46399999999999997
